Endothelial	Endothelial_lymphatic	T_cells	Granulocytes	Erythrocytes	DCs
VWF	FLT4	TRAC	TPSAB1	HBB	CLEC10A
EGFL7	MMRN1	TRBC1	TPSB2	HBA2	CIITA
PECAM1	PROX1	TRBC2	CPA3		
PLVAP	RELN	CD8A	CTSG		
		CD8B			
		CD8B2			
		SELL			
		CD4			
