# Generated: 2026-07-28T14:57:42.405618
# Sample: sample1
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 10062
	sample	region_annotation	leiden_0_6	leiden_0_8
cellid_000000002-1	sample1	Region 4	4	2
cellid_000000003-1	sample1	Region 4	4	2
cellid_000000008-1	sample1	Region 4	4	2
cellid_000000017-1	sample1	Region 4	4	2
cellid_000000020-1	sample1	Region 4	0	0
cellid_000000034-1	sample1	Region 4	0	0
cellid_000000037-1	sample1	Region 4	4	2
cellid_000000041-1	sample1	Region 4	0	0
cellid_000000046-1	sample1	Region 4	4	2
cellid_000000049-1	sample1	Region 4	4	2
cellid_000000053-1	sample1	Region 4	4	2
cellid_000000054-1	sample1	Region 4	4	2
cellid_000000064-1	sample1	Region 4	4	2
cellid_000000067-1	sample1	Region 4	7	6
cellid_000000068-1	sample1	Region 4	4	2
cellid_000000073-1	sample1	Region 4	0	0
cellid_000000076-1	sample1	Region 4	13	16
cellid_000000077-1	sample1	Region 4	0	6
cellid_000000081-1	sample1	Region 4	4	2
cellid_000000083-1	sample1	Region 4	8	2
cellid_000000086-1	sample1	Region 4	7	6
cellid_000000089-1	sample1	Region 4	4	2
cellid_000000091-1	sample1	Region 4	4	2
cellid_000000094-1	sample1	Region 4	0	2
cellid_000000098-1	sample1	Region 4	4	2
cellid_000000105-1	sample1	Region 4	0	0
cellid_000000106-1	sample1	Region 4	4	2
cellid_000000110-1	sample1	Region 4	4	2
cellid_000000112-1	sample1	Region 4	0	0
cellid_000000115-1	sample1	Region 4	4	2
cellid_000000117-1	sample1	Region 4	4	2
cellid_000000121-1	sample1	Region 4	4	2
cellid_000000123-1	sample1	Region 4	4	2
cellid_000000124-1	sample1	Region 4	4	2
cellid_000000127-1	sample1	Region 4	0	0
cellid_000000139-1	sample1	Region 4	0	0
cellid_000000147-1	sample1	Region 4	4	2
cellid_000000149-1	sample1	Region 4	0	0
cellid_000000155-1	sample1	Region 4	4	2
cellid_000000158-1	sample1	Region 4	4	2
cellid_000000161-1	sample1	Region 4	4	2
cellid_000000164-1	sample1	Region 4	4	2
cellid_000000166-1	sample1	Region 4	4	2
cellid_000000173-1	sample1	Region 4	4	2
cellid_000000179-1	sample1	Region 4	0	0
cellid_000000185-1	sample1	Region 4	0	0
cellid_000000186-1	sample1	Region 4	7	6
cellid_000000187-1	sample1	Region 4	7	6
cellid_000000189-1	sample1	Region 4	4	2
cellid_000000194-1	sample1	Region 4	7	6
cellid_000000195-1	sample1	Region 4	0	0
cellid_000000206-1	sample1	Region 4	4	2
cellid_000000211-1	sample1	Region 4	7	6
cellid_000000218-1	sample1	Region 4	7	6
cellid_000000219-1	sample1	Region 4	4	2
cellid_000000222-1	sample1	Region 4	4	2
cellid_000000228-1	sample1	Region 4	0	0
cellid_000000232-1	sample1	Region 4	4	2
cellid_000000234-1	sample1	Region 4	0	0
cellid_000000235-1	sample1	Region 4	4	2
cellid_000000238-1	sample1	Region 4	7	6
cellid_000000246-1	sample1	Region 4	4	2
cellid_000000249-1	sample1	Region 4	4	2
cellid_000000250-1	sample1	Region 4	4	2
cellid_000000256-1	sample1	Region 4	4	2
cellid_000000262-1	sample1	Region 4	4	2
cellid_000000265-1	sample1	Region 4	4	2
cellid_000000270-1	sample1	Region 4	4	2
cellid_000000272-1	sample1	Region 4	4	2
cellid_000000278-1	sample1	Region 4	7	6
cellid_000000281-1	sample1	Region 4	4	2
cellid_000000283-1	sample1	Region 4	4	2
cellid_000000284-1	sample1	Region 4	7	6
cellid_000000289-1	sample1	Region 4	4	2
cellid_000000299-1	sample1	Region 4	7	6
cellid_000000306-1	sample1	Region 4	0	0
cellid_000000308-1	sample1	Region 4	4	2
cellid_000000314-1	sample1	Region 4	4	2
cellid_000000316-1	sample1	Region 4	7	6
cellid_000000317-1	sample1	Region 4	8	2
cellid_000000323-1	sample1	Region 4	4	2
cellid_000000324-1	sample1	Region 4	13	16
cellid_000000329-1	sample1	Region 4	8	2
cellid_000000332-1	sample1	Region 4	4	2
cellid_000000335-1	sample1	Region 4	4	2
cellid_000000336-1	sample1	Region 4	0	0
cellid_000000344-1	sample1	Region 4	7	6
cellid_000000349-1	sample1	Region 4	4	2
cellid_000000354-1	sample1	Region 4	4	2
cellid_000000361-1	sample1	Region 4	4	2
cellid_000000365-1	sample1	Region 4	4	2
cellid_000000366-1	sample1	Region 4	4	2
cellid_000000373-1	sample1	Region 4	4	2
cellid_000000375-1	sample1	Region 4	4	2
cellid_000000377-1	sample1	Region 4	4	2
cellid_000000378-1	sample1	Region 4	0	0
cellid_000000379-1	sample1	Region 4	4	2
cellid_000000381-1	sample1	Region 4	0	0
cellid_000000395-1	sample1	Region 4	4	2
cellid_000000396-1	sample1	Region 4	4	2
cellid_000000401-1	sample1	Region 4	4	2
cellid_000000402-1	sample1	Region 4	4	2
cellid_000000405-1	sample1	Region 4	0	0
cellid_000000410-1	sample1	Region 4	4	2
cellid_000000427-1	sample1	Region 4	4	2
cellid_000000428-1	sample1	Region 4	4	2
cellid_000000429-1	sample1	Region 4	4	2
cellid_000000433-1	sample1	Region 4	6	5
cellid_000000434-1	sample1	Region 4	4	2
cellid_000000436-1	sample1	Region 4	0	0
cellid_000000437-1	sample1	Region 4	4	2
cellid_000000441-1	sample1	Region 4	4	2
cellid_000000442-1	sample1	Region 4	4	2
cellid_000000449-1	sample1	Region 4	4	2
cellid_000000451-1	sample1	Region 4	4	2
cellid_000000452-1	sample1	Region 4	4	2
cellid_000000453-1	sample1	Region 4	0	0
cellid_000000455-1	sample1	Region 4	4	2
cellid_000000459-1	sample1	Region 4	4	2
cellid_000000460-1	sample1	Region 4	4	2
cellid_000000465-1	sample1	Unlabeled	0	0
cellid_000000467-1	sample1	Region 4	4	2
cellid_000000473-1	sample1	Region 4	7	6
cellid_000000475-1	sample1	Region 4	4	2
cellid_000000477-1	sample1	Region 4	4	2
cellid_000000479-1	sample1	Region 4	7	6
cellid_000000481-1	sample1	Region 4	4	2
cellid_000000486-1	sample1	Region 4	4	2
cellid_000000494-1	sample1	Region 4	0	0
cellid_000000495-1	sample1	Region 4	0	0
cellid_000000504-1	sample1	Region 4	4	2
cellid_000000506-1	sample1	Unlabeled	1	4
cellid_000000507-1	sample1	Region 4	4	2
cellid_000000510-1	sample1	Region 4	4	2
cellid_000000512-1	sample1	Unlabeled	4	2
cellid_000000513-1	sample1	Region 4	4	2
cellid_000000514-1	sample1	Region 4	4	2
cellid_000000518-1	sample1	Unlabeled	6	5
cellid_000000521-1	sample1	Region 4	4	2
cellid_000000523-1	sample1	Region 4	4	2
cellid_000000526-1	sample1	Region 4	4	2
cellid_000000529-1	sample1	Region 4	4	2
cellid_000000530-1	sample1	Region 4	4	2
cellid_000000536-1	sample1	Unlabeled	1	4
cellid_000000537-1	sample1	Region 4	1	4
cellid_000000539-1	sample1	Region 4	0	0
cellid_000000544-1	sample1	Region 4	4	2
cellid_000000547-1	sample1	Region 4	4	2
cellid_000000551-1	sample1	Region 4	4	2
cellid_000000553-1	sample1	Region 4	4	2
cellid_000000556-1	sample1	Region 4	0	0
cellid_000000559-1	sample1	Region 4	4	2
cellid_000000561-1	sample1	Region 4	4	2
cellid_000000562-1	sample1	Region 4	4	2
cellid_000000563-1	sample1	Region 4	4	2
cellid_000000568-1	sample1	Region 4	4	2
cellid_000000569-1	sample1	Region 4	4	2
cellid_000000572-1	sample1	Region 4	0	0
cellid_000000575-1	sample1	Region 4	4	2
cellid_000000578-1	sample1	Unlabeled	4	2
cellid_000000580-1	sample1	Region 4	4	2
cellid_000000581-1	sample1	Region 4	4	2
cellid_000000590-1	sample1	Region 4	4	2
cellid_000000594-1	sample1	Region 4	4	2
