# Generated: 2026-07-20T17:40:55.309515
# Sample: sample3
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 18476
	sample	region_annotation	leiden_0_6	leiden_0_8
901	sample3	Region 2	6	8
903	sample3	Region 2	6	8
904	sample3	Region 2	6	8
905	sample3	Region 2	6	8
908	sample3	Region 2	6	8
909	sample3	Region 2	6	8
910	sample3	Region 2	6	8
912	sample3	Region 2	6	8
914	sample3	Region 2	6	8
917	sample3	Region 2	6	8
918	sample3	Region 2	6	8
921	sample3	Region 2	6	8
925	sample3	Region 2	6	8
927	sample3	Region 2	6	8
950	sample3	Region 2	6	8
951	sample3	Region 2	6	8
955	sample3	Region 2	6	8
956	sample3	Region 2	6	8
959	sample3	Region 2	6	8
960	sample3	Region 2	6	8
962	sample3	Region 2	6	8
964	sample3	Region 2	6	8
966	sample3	Region 2	6	8
967	sample3	Region 2	6	8
968	sample3	Region 2	6	8
976	sample3	Region 2	6	8
990	sample3	Region 2	6	8
992	sample3	Region 2	6	8
997	sample3	Region 2	6	8
998	sample3	Region 2	6	8
1019	sample3	Region 2	6	8
1021	sample3	Region 2	6	8
1022	sample3	Region 2	6	8
1024	sample3	Region 2	6	8
1025	sample3	Region 2	6	8
1029	sample3	Region 2	6	8
1030	sample3	Region 2	6	8
1035	sample3	Region 2	6	8
1047	sample3	Region 2	6	8
1049	sample3	Region 2	6	8
1050	sample3	Region 2	6	8
1052	sample3	Region 2	6	8
1065	sample3	Region 2	6	8
1068	sample3	Region 2	6	8
1070	sample3	Region 2	6	8
1077	sample3	Region 2	6	8
1080	sample3	Region 2	6	8
1085	sample3	Region 2	6	8
1087	sample3	Region 2	6	8
1097	sample3	Region 2	6	8
1104	sample3	Region 2	6	8
1106	sample3	Region 2	6	8
1109	sample3	Region 2	6	8
1110	sample3	Region 2	6	8
1113	sample3	Region 2	6	8
1114	sample3	Region 2	6	8
1121	sample3	Region 2	6	8
1123	sample3	Region 2	6	8
1139	sample3	Region 2	6	8
1141	sample3	Region 2	6	8
1148	sample3	Region 2	6	8
1165	sample3	Region 2	6	8
1168	sample3	Region 2	6	8
1169	sample3	Region 2	6	8
1179	sample3	Region 2	6	8
1195	sample3	Region 2	6	8
1202	sample3	Region 2	6	8
1215	sample3	Region 2	6	8
1218	sample3	Region 2	6	8
1221	sample3	Region 2	6	8
1223	sample3	Region 2	6	8
1224	sample3	Region 2	6	8
1226	sample3	Region 2	6	8
1230	sample3	Region 2	6	8
1232	sample3	Region 2	6	8
1240	sample3	Region 2	6	8
1278	sample3	Region 2	6	8
1285	sample3	Region 2	6	8
1287	sample3	Region 2	6	8
1294	sample3	Region 2	6	8
1298	sample3	Region 2	6	8
1307	sample3	Region 2	6	8
1315	sample3	Region 2	6	8
1319	sample3	Region 2	6	8
1322	sample3	Region 2	6	8
1325	sample3	Region 2	6	8
1327	sample3	Region 2	6	8
1330	sample3	Region 2	6	8
1331	sample3	Region 2	6	8
1333	sample3	Region 2	6	8
1334	sample3	Region 2	6	8
1338	sample3	Region 2	6	8
1343	sample3	Region 2	6	8
1347	sample3	Region 2	6	8
1349	sample3	Region 2	6	8
1351	sample3	Region 2	6	8
1353	sample3	Region 2	6	8
1355	sample3	Region 2	6	8
1359	sample3	Region 2	6	8
1360	sample3	Region 2	6	8
1367	sample3	Region 2	6	8
1368	sample3	Region 2	6	8
1372	sample3	Region 2	6	8
1373	sample3	Region 2	6	8
1375	sample3	Region 2	6	8
1378	sample3	Region 2	6	8
1379	sample3	Region 2	6	8
1381	sample3	Region 2	6	8
1384	sample3	Region 2	6	8
1388	sample3	Region 2	6	8
