Excitatory_neurons	Inhibitory_neurons	Astrocytes	Oligodendrocytes	Choroid_plexus
Slc17a7	Gad1	Aqp4	Plp1	Ttr
Slc17a6	Gad2	Gja1	Mbp	Folr1
Satb2	Slc32a1	Slc1a3	Mobp	Kcnj13
Camk2a	Slc6a1	Slc1a2	Mog	Otx2
Nrgn	Dlx1	Aldoc	Mag	Clic6
Snap25	Dlx2	Gfap	Cldn11	Enpp2
Nptxr	Pvalb	Apoe	Cnp	Kl
Fezf2	Sst	Atp1a2	Qki	Aqp1
Rorb	Vip	Cst3	Apod	Slc22a17
Neurod6	Lamp5	Sparcl1	Sox10	Prlr
