# Generated: 2026-07-28T14:57:42.433427
# Sample: sample2
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 10105
	sample	region_annotation	leiden_0_6	leiden_0_8
cellid_000000531-1	sample2	Region 4	3	3
cellid_000000532-1	sample2	Region 4	6	11
cellid_000000533-1	sample2	Region 4	3	3
cellid_000000535-1	sample2	Region 4	3	3
cellid_000000538-1	sample2	Region 4	3	3
cellid_000000541-1	sample2	Region 4	3	3
cellid_000000549-1	sample2	Region 4	3	3
cellid_000000552-1	sample2	Region 4	3	3
cellid_000000554-1	sample2	Region 4	0	2
cellid_000000560-1	sample2	Region 4	3	3
cellid_000000564-1	sample2	Region 4	3	3
cellid_000000565-1	sample2	Region 4	5	6
cellid_000000566-1	sample2	Unlabeled	2	1
cellid_000000573-1	sample2	Region 4	3	3
cellid_000000576-1	sample2	Unlabeled	3	3
cellid_000000579-1	sample2	Region 4	3	3
cellid_000000582-1	sample2	Region 4	3	3
cellid_000000585-1	sample2	Region 4	3	3
cellid_000000587-1	sample2	Region 4	3	3
cellid_000000588-1	sample2	Region 4	2	1
cellid_000000589-1	sample2	Region 4	3	3
cellid_000000593-1	sample2	Region 4	0	2
cellid_000000610-1	sample2	Region 4	5	6
cellid_000000611-1	sample2	Region 4	3	3
cellid_000000613-1	sample2	Region 4	3	3
cellid_000000616-1	sample2	Region 4	2	1
cellid_000000618-1	sample2	Region 4	5	6
cellid_000000619-1	sample2	Unlabeled	0	2
cellid_000000627-1	sample2	Region 4	3	3
cellid_000000637-1	sample2	Region 4	3	3
cellid_000000638-1	sample2	Region 4	3	3
cellid_000000640-1	sample2	Region 4	3	3
cellid_000000641-1	sample2	Region 4	3	3
cellid_000000642-1	sample2	Region 4	3	3
cellid_000000643-1	sample2	Region 4	3	3
cellid_000000650-1	sample2	Region 4	6	8
cellid_000000651-1	sample2	Region 4	3	3
cellid_000000652-1	sample2	Region 4	3	3
cellid_000000653-1	sample2	Region 4	3	3
cellid_000000657-1	sample2	Region 4	3	3
cellid_000000665-1	sample2	Region 4	3	3
cellid_000000667-1	sample2	Region 4	3	3
cellid_000000670-1	sample2	Region 4	3	3
cellid_000000693-1	sample2	Region 4	3	3
cellid_000000696-1	sample2	Region 4	3	3
cellid_000000698-1	sample2	Region 4	2	1
cellid_000000704-1	sample2	Region 4	3	3
cellid_000000706-1	sample2	Unlabeled	3	3
cellid_000000709-1	sample2	Region 4	3	3
cellid_000000710-1	sample2	Region 4	2	1
cellid_000000716-1	sample2	Region 4	2	1
cellid_000000722-1	sample2	Region 4	3	3
cellid_000000724-1	sample2	Region 4	2	1
cellid_000000726-1	sample2	Region 4	3	3
cellid_000000728-1	sample2	Region 4	3	3
cellid_000000729-1	sample2	Region 4	3	3
cellid_000000731-1	sample2	Region 4	2	1
cellid_000000732-1	sample2	Region 4	3	3
cellid_000000737-1	sample2	Region 4	3	3
cellid_000000741-1	sample2	Region 4	3	3
cellid_000000742-1	sample2	Region 4	3	3
cellid_000000748-1	sample2	Region 4	3	3
cellid_000000754-1	sample2	Region 4	3	3
cellid_000000755-1	sample2	Region 4	2	1
cellid_000000757-1	sample2	Region 4	3	3
cellid_000000758-1	sample2	Region 4	3	3
cellid_000000763-1	sample2	Region 4	3	3
cellid_000000766-1	sample2	Region 4	0	2
cellid_000000767-1	sample2	Region 4	2	1
cellid_000000772-1	sample2	Region 4	3	3
cellid_000000776-1	sample2	Region 4	2	1
cellid_000000780-1	sample2	Region 4	2	1
cellid_000000784-1	sample2	Region 4	3	3
cellid_000000785-1	sample2	Region 4	3	3
cellid_000000787-1	sample2	Region 4	0	2
cellid_000000788-1	sample2	Region 4	0	2
cellid_000000790-1	sample2	Region 4	0	2
cellid_000000799-1	sample2	Region 4	3	3
cellid_000000812-1	sample2	Region 4	3	3
cellid_000000815-1	sample2	Region 4	3	3
cellid_000000820-1	sample2	Region 4	3	3
cellid_000000821-1	sample2	Region 4	3	3
cellid_000000822-1	sample2	Region 4	3	3
cellid_000000828-1	sample2	Region 4	2	1
cellid_000000830-1	sample2	Region 4	3	3
cellid_000000832-1	sample2	Region 4	2	1
cellid_000000833-1	sample2	Region 4	2	1
cellid_000000835-1	sample2	Region 4	3	3
cellid_000000837-1	sample2	Region 4	3	2
cellid_000000840-1	sample2	Region 4	2	1
cellid_000000842-1	sample2	Region 4	0	2
cellid_000000843-1	sample2	Region 4	2	1
cellid_000000845-1	sample2	Region 4	3	3
cellid_000000846-1	sample2	Region 4	0	2
cellid_000000848-1	sample2	Region 4	0	2
cellid_000000849-1	sample2	Region 4	2	1
cellid_000000853-1	sample2	Region 4	3	3
cellid_000000855-1	sample2	Region 4	3	3
cellid_000000861-1	sample2	Region 4	3	3
cellid_000000866-1	sample2	Region 4	2	1
cellid_000000872-1	sample2	Unlabeled	6	8
cellid_000000873-1	sample2	Region 4	2	1
cellid_000000875-1	sample2	Region 4	0	2
cellid_000000876-1	sample2	Region 4	3	3
cellid_000000880-1	sample2	Region 4	3	3
cellid_000000884-1	sample2	Region 4	3	3
cellid_000000886-1	sample2	Region 4	3	3
cellid_000000890-1	sample2	Region 4	2	1
cellid_000000893-1	sample2	Region 4	8	16
cellid_000000898-1	sample2	Region 4	3	3
cellid_000000901-1	sample2	Region 4	3	3
cellid_000000907-1	sample2	Region 3	2	1
cellid_000000912-1	sample2	Region 4	2	1
cellid_000000919-1	sample2	Region 4	3	3
cellid_000000923-1	sample2	Unlabeled	2	1
cellid_000000925-1	sample2	Region 3	2	1
cellid_000000931-1	sample2	Region 4	0	2
cellid_000000933-1	sample2	Region 4	3	3
cellid_000000935-1	sample2	Region 4	0	2
cellid_000000940-1	sample2	Region 4	3	3
cellid_000000942-1	sample2	Region 4	3	3
cellid_000000944-1	sample2	Region 4	2	1
cellid_000000951-1	sample2	Region 4	3	3
cellid_000000956-1	sample2	Region 4	2	1
cellid_000000960-1	sample2	Region 4	3	3
cellid_000000962-1	sample2	Region 4	3	3
cellid_000000963-1	sample2	Region 4	3	3
cellid_000000964-1	sample2	Region 4	3	3
cellid_000000965-1	sample2	Region 4	3	3
cellid_000000970-1	sample2	Region 4	3	3
cellid_000000973-1	sample2	Unlabeled	2	1
cellid_000000977-1	sample2	Region 4	2	1
cellid_000000978-1	sample2	Region 4	2	1
cellid_000000985-1	sample2	Region 4	3	3
cellid_000000989-1	sample2	Region 4	2	3
cellid_000000992-1	sample2	Region 4	3	3
cellid_000000996-1	sample2	Region 4	3	3
cellid_000000997-1	sample2	Region 4	0	2
cellid_000000998-1	sample2	Unlabeled	0	2
cellid_000000999-1	sample2	Region 4	3	3
cellid_000001000-1	sample2	Region 4	6	8
cellid_000001004-1	sample2	Region 4	6	8
cellid_000001005-1	sample2	Region 4	3	3
cellid_000001016-1	sample2	Region 4	3	3
cellid_000001019-1	sample2	Region 4	3	3
cellid_000001020-1	sample2	Region 4	2	1
cellid_000001021-1	sample2	Region 4	2	1
cellid_000001022-1	sample2	Region 4	2	1
cellid_000001029-1	sample2	Region 4	2	8
cellid_000001030-1	sample2	Region 4	0	2
cellid_000001033-1	sample2	Region 4	6	8
cellid_000001038-1	sample2	Region 4	0	2
cellid_000001039-1	sample2	Region 4	3	3
cellid_000001041-1	sample2	Region 4	3	3
cellid_000001042-1	sample2	Region 3	3	3
cellid_000001043-1	sample2	Region 4	3	3
cellid_000001045-1	sample2	Region 4	2	1
cellid_000001046-1	sample2	Region 4	3	3
cellid_000001047-1	sample2	Region 4	3	3
cellid_000001051-1	sample2	Region 4	3	3
cellid_000001053-1	sample2	Region 4	3	3
cellid_000001057-1	sample2	Region 4	3	3
cellid_000001060-1	sample2	Unlabeled	3	2
cellid_000001063-1	sample2	Region 4	2	1
cellid_000001065-1	sample2	Region 4	3	3
cellid_000001077-1	sample2	Region 4	3	3
cellid_000001079-1	sample2	Region 4	2	1
cellid_000001081-1	sample2	Region 4	3	3
cellid_000001082-1	sample2	Region 4	3	3
cellid_000001084-1	sample2	Region 4	3	3
cellid_000001086-1	sample2	Region 4	2	1
cellid_000001088-1	sample2	Region 4	6	8
cellid_000001100-1	sample2	Region 4	0	2
cellid_000001103-1	sample2	Region 4	2	1
cellid_000001115-1	sample2	Region 4	2	1
cellid_000001121-1	sample2	Region 4	3	3
cellid_000001127-1	sample2	Region 4	3	3
cellid_000001137-1	sample2	Region 4	3	3
cellid_000001140-1	sample2	Region 4	3	3
cellid_000001142-1	sample2	Region 4	3	3
cellid_000001144-1	sample2	Region 4	3	3
cellid_000001146-1	sample2	Region 4	6	8
cellid_000001149-1	sample2	Region 4	3	3
cellid_000001173-1	sample2	Region 4	2	1
cellid_000001174-1	sample2	Region 4	3	3
cellid_000001177-1	sample2	Region 4	3	3
cellid_000001181-1	sample2	Region 4	3	3
cellid_000001182-1	sample2	Region 3	2	1
cellid_000001188-1	sample2	Region 4	3	3
cellid_000001198-1	sample2	Region 4	2	1
cellid_000001199-1	sample2	Region 4	3	3
cellid_000001203-1	sample2	Region 4	6	8
cellid_000001204-1	sample2	Region 4	3	3
cellid_000001205-1	sample2	Unlabeled	0	2
cellid_000001206-1	sample2	Region 4	2	1
cellid_000001211-1	sample2	Region 4	3	3
cellid_000001215-1	sample2	Region 4	3	3
cellid_000001216-1	sample2	Region 4	3	3
cellid_000001217-1	sample2	Region 4	3	3
cellid_000001219-1	sample2	Region 4	3	3
cellid_000001223-1	sample2	Region 4	3	3
cellid_000001234-1	sample2	Region 4	3	3
cellid_000001241-1	sample2	Region 4	6	8
cellid_000001244-1	sample2	Region 4	3	3
cellid_000001253-1	sample2	Region 4	3	3
cellid_000001255-1	sample2	Region 4	3	3
cellid_000001257-1	sample2	Unlabeled	0	2
cellid_000001263-1	sample2	Region 3	3	3
cellid_000001267-1	sample2	Region 4	2	6
cellid_000001278-1	sample2	Region 4	2	1
cellid_000001286-1	sample2	Region 4	3	3
cellid_000001287-1	sample2	Region 4	3	3
cellid_000001291-1	sample2	Unlabeled	3	3
cellid_000001300-1	sample2	Region 4	2	1
cellid_000001301-1	sample2	Region 4	3	3
cellid_000001305-1	sample2	Region 4	3	3
cellid_000001308-1	sample2	Region 4	3	3
cellid_000001312-1	sample2	Region 4	3	3
cellid_000001314-1	sample2	Region 4	3	3
cellid_000001319-1	sample2	Region 4	0	2
cellid_000001321-1	sample2	Region 4	3	3
cellid_000001325-1	sample2	Region 4	2	3
cellid_000001328-1	sample2	Region 4	2	1
cellid_000001330-1	sample2	Region 4	3	3
cellid_000001332-1	sample2	Region 4	2	1
cellid_000001333-1	sample2	Region 4	3	3
cellid_000001337-1	sample2	Region 4	2	3
cellid_000001339-1	sample2	Region 4	3	3
cellid_000001345-1	sample2	Region 4	3	3
cellid_000001346-1	sample2	Region 4	6	8
cellid_000001348-1	sample2	Region 4	3	3
cellid_000001363-1	sample2	Region 4	3	3
cellid_000001368-1	sample2	Region 4	3	3
cellid_000001369-1	sample2	Region 4	0	2
cellid_000001375-1	sample2	Region 4	3	3
cellid_000001376-1	sample2	Region 4	2	1
cellid_000001388-1	sample2	Region 3	3	3
cellid_000001390-1	sample2	Region 4	3	3
cellid_000001397-1	sample2	Region 4	3	3
cellid_000001402-1	sample2	Unlabeled	3	3
cellid_000001404-1	sample2	Region 4	3	3
cellid_000001406-1	sample2	Region 4	3	3
cellid_000001408-1	sample2	Region 4	6	8
cellid_000001411-1	sample2	Region 4	6	8
cellid_000001417-1	sample2	Region 4	2	1
cellid_000001421-1	sample2	Region 4	7	3
cellid_000001422-1	sample2	Region 4	6	8
cellid_000001427-1	sample2	Region 4	2	1
cellid_000001429-1	sample2	Region 4	2	1
cellid_000001441-1	sample2	Unlabeled	2	1
cellid_000001443-1	sample2	Region 3	0	2
cellid_000001444-1	sample2	Region 4	0	2
cellid_000001447-1	sample2	Region 4	3	3
cellid_000001449-1	sample2	Region 4	3	3
cellid_000001450-1	sample2	Region 4	2	1
cellid_000001452-1	sample2	Region 4	3	3
cellid_000001458-1	sample2	Region 4	2	1
cellid_000001463-1	sample2	Unlabeled	3	3
cellid_000001464-1	sample2	Unlabeled	2	1
cellid_000001466-1	sample2	Region 4	3	3
cellid_000001472-1	sample2	Region 4	3	3
cellid_000001474-1	sample2	Region 4	3	3
cellid_000001476-1	sample2	Region 4	0	2
cellid_000001485-1	sample2	Region 4	3	3
cellid_000001487-1	sample2	Region 4	6	8
cellid_000001489-1	sample2	Region 4	3	3
cellid_000001491-1	sample2	Region 4	2	1
cellid_000001497-1	sample2	Region 4	3	3
cellid_000001499-1	sample2	Region 4	3	3
cellid_000001505-1	sample2	Region 4	3	3
cellid_000001511-1	sample2	Region 4	3	3
cellid_000001513-1	sample2	Region 4	2	1
cellid_000001525-1	sample2	Region 4	3	3
cellid_000001529-1	sample2	Unlabeled	3	3
cellid_000001545-1	sample2	Region 3	2	1
cellid_000001549-1	sample2	Region 3	0	2
cellid_000001550-1	sample2	Region 3	2	1
cellid_000001551-1	sample2	Region 3	2	1
cellid_000001552-1	sample2	Region 3	0	2
cellid_000001555-1	sample2	Region 3	0	2
cellid_000001558-1	sample2	Region 3	0	2
cellid_000001562-1	sample2	Region 3	5	6
cellid_000001568-1	sample2	Region 3	2	1
cellid_000001574-1	sample2	Region 3	0	2
cellid_000001575-1	sample2	Region 3	5	6
cellid_000001580-1	sample2	Region 3	2	1
cellid_000001584-1	sample2	Region 3	0	2
cellid_000001585-1	sample2	Region 3	0	2
cellid_000001594-1	sample2	Region 3	0	2
cellid_000001596-1	sample2	Region 3	0	2
cellid_000001599-1	sample2	Region 3	2	1
cellid_000001600-1	sample2	Region 3	0	4
cellid_000001608-1	sample2	Region 3	5	6
cellid_000001610-1	sample2	Region 3	2	1
cellid_000001615-1	sample2	Region 3	5	6
cellid_000001618-1	sample2	Region 3	6	8
cellid_000001622-1	sample2	Region 3	7	4
cellid_000001623-1	sample2	Region 3	2	1
cellid_000001627-1	sample2	Region 3	2	1
cellid_000001628-1	sample2	Region 3	8	16
cellid_000001637-1	sample2	Region 3	3	3
cellid_000001638-1	sample2	Region 3	0	2
cellid_000001645-1	sample2	Region 3	0	2
cellid_000001648-1	sample2	Region 3	3	3
cellid_000001649-1	sample2	Region 3	0	2
cellid_000001650-1	sample2	Region 3	2	8
cellid_000001656-1	sample2	Region 3	0	2
cellid_000001657-1	sample2	Region 3	5	6
cellid_000001661-1	sample2	Region 3	2	3
cellid_000001662-1	sample2	Region 3	2	1
cellid_000001665-1	sample2	Region 3	0	2
cellid_000001667-1	sample2	Region 3	2	1
cellid_000001673-1	sample2	Region 3	3	3
cellid_000001676-1	sample2	Region 3	0	2
cellid_000001677-1	sample2	Region 3	5	6
cellid_000001688-1	sample2	Region 3	0	2
cellid_000001694-1	sample2	Region 3	2	1
cellid_000001697-1	sample2	Region 3	2	1
cellid_000001698-1	sample2	Region 3	5	6
cellid_000001708-1	sample2	Region 3	2	1
cellid_000001709-1	sample2	Region 3	3	3
