# Generated: 2026-07-20T17:40:54.507728
# Sample: sample1
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 18497
	sample	region_annotation	leiden_0_6	leiden_0_8
2	sample1	Region 2	6	7
9	sample1	Region 2	6	7
10	sample1	Region 2	6	7
16	sample1	Region 2	6	7
18	sample1	Region 2	6	7
41	sample1	Region 2	6	7
42	sample1	Region 2	6	7
46	sample1	Region 2	6	7
49	sample1	Region 2	6	7
51	sample1	Region 2	6	7
52	sample1	Region 2	6	7
59	sample1	Region 2	6	7
63	sample1	Region 2	6	7
68	sample1	Region 2	6	7
71	sample1	Region 2	6	7
72	sample1	Region 2	6	7
77	sample1	Region 2	6	7
94	sample1	Region 2	6	7
95	sample1	Region 2	6	7
107	sample1	Region 2	6	7
110	sample1	Region 2	6	7
111	sample1	Region 2	6	7
114	sample1	Region 2	6	7
116	sample1	Region 2	6	7
121	sample1	Region 2	6	7
126	sample1	Region 2	6	7
133	sample1	Region 2	6	7
135	sample1	Region 2	6	7
137	sample1	Region 2	6	7
138	sample1	Region 2	6	7
139	sample1	Region 2	6	7
143	sample1	Region 2	6	7
146	sample1	Region 2	6	7
147	sample1	Region 2	6	7
151	sample1	Region 2	6	7
154	sample1	Region 2	6	7
161	sample1	Region 2	6	7
162	sample1	Region 2	6	7
168	sample1	Region 2	6	7
175	sample1	Region 2	6	7
176	sample1	Region 2	6	7
179	sample1	Region 2	6	7
181	sample1	Region 2	6	7
186	sample1	Region 2	6	7
188	sample1	Region 2	6	7
189	sample1	Region 2	6	7
194	sample1	Region 2	6	7
196	sample1	Region 2	6	7
198	sample1	Region 2	6	7
201	sample1	Region 2	6	7
206	sample1	Region 2	6	7
207	sample1	Region 2	6	7
210	sample1	Region 2	6	7
211	sample1	Region 2	6	7
218	sample1	Region 2	6	7
219	sample1	Region 2	6	7
227	sample1	Region 2	6	7
231	sample1	Region 2	6	7
235	sample1	Region 2	6	7
237	sample1	Region 2	6	7
241	sample1	Region 2	6	7
244	sample1	Region 2	6	7
247	sample1	Region 2	6	7
248	sample1	Region 2	6	7
255	sample1	Region 2	6	7
257	sample1	Region 2	6	7
258	sample1	Region 2	6	7
262	sample1	Region 2	6	7
264	sample1	Region 2	6	7
269	sample1	Region 2	6	7
272	sample1	Region 2	6	7
273	sample1	Region 2	6	7
275	sample1	Region 2	6	7
279	sample1	Region 2	6	7
285	sample1	Region 2	6	7
286	sample1	Region 2	6	7
288	sample1	Region 2	6	7
289	sample1	Region 2	6	7
290	sample1	Region 2	6	7
292	sample1	Region 2	6	7
293	sample1	Region 2	6	7
296	sample1	Region 2	6	7
300	sample1	Region 2	6	7
303	sample1	Region 2	6	7
304	sample1	Region 2	6	7
305	sample1	Region 2	6	7
320	sample1	Region 2	6	7
323	sample1	Region 2	6	7
330	sample1	Region 2	6	7
344	sample1	Region 2	6	7
347	sample1	Region 2	6	7
352	sample1	Region 2	6	7
355	sample1	Region 2	6	7
357	sample1	Region 2	6	7
359	sample1	Region 2	6	7
