# Generated: 2026-07-20T17:40:54.447200
# Sample: sample2
# Scanpy: 1.11.5
# Random seed: 0
# n_cells: 18486
	sample	region_annotation	leiden_0_6	leiden_0_8
928	sample2	Region 2	7	8
930	sample2	Region 2	7	8
934	sample2	Region 2	7	8
935	sample2	Region 2	7	8
936	sample2	Region 2	7	8
938	sample2	Region 2	7	8
943	sample2	Region 2	7	8
944	sample2	Region 2	7	8
947	sample2	Region 2	7	8
948	sample2	Region 2	7	8
952	sample2	Region 2	7	8
954	sample2	Region 2	7	8
970	sample2	Region 2	7	8
975	sample2	Region 2	7	8
980	sample2	Region 2	7	8
982	sample2	Region 2	7	8
983	sample2	Region 2	7	8
986	sample2	Region 2	7	8
988	sample2	Region 2	7	8
989	sample2	Region 2	7	8
993	sample2	Region 2	7	8
995	sample2	Region 2	7	8
999	sample2	Region 2	7	8
1001	sample2	Region 2	7	8
1020	sample2	Region 2	7	8
1026	sample2	Region 2	7	8
1027	sample2	Region 2	7	8
1031	sample2	Region 2	7	8
1032	sample2	Region 2	7	8
1038	sample2	Region 2	7	8
1040	sample2	Region 2	7	8
1044	sample2	Region 2	7	8
1055	sample2	Region 2	7	8
1056	sample2	Region 2	7	8
1064	sample2	Region 2	7	8
1081	sample2	Region 2	7	8
1089	sample2	Region 2	7	8
1094	sample2	Region 2	7	8
1095	sample2	Region 2	7	8
1096	sample2	Region 2	7	8
1100	sample2	Region 2	7	8
1101	sample2	Region 2	7	8
1105	sample2	Region 2	7	8
1112	sample2	Region 2	7	8
1116	sample2	Region 2	7	8
1119	sample2	Region 2	7	8
1120	sample2	Region 2	7	8
1124	sample2	Region 2	7	8
1129	sample2	Region 2	7	8
1133	sample2	Region 2	7	8
1134	sample2	Region 2	7	8
1140	sample2	Region 2	7	8
1145	sample2	Region 2	7	8
1146	sample2	Region 2	7	8
1147	sample2	Region 2	7	8
1149	sample2	Region 2	7	8
1160	sample2	Region 2	7	8
1163	sample2	Region 2	7	8
1170	sample2	Region 2	7	8
1184	sample2	Region 2	7	8
1190	sample2	Region 2	7	8
1197	sample2	Region 2	7	8
1200	sample2	Region 2	7	8
1207	sample2	Region 2	7	8
1208	sample2	Region 2	7	8
1209	sample2	Region 2	7	8
1210	sample2	Region 2	7	8
1211	sample2	Region 2	7	8
1214	sample2	Region 2	7	8
1225	sample2	Region 2	7	8
1227	sample2	Region 2	7	8
1229	sample2	Region 2	7	8
1236	sample2	Region 2	7	8
1238	sample2	Region 2	7	8
1241	sample2	Region 2	7	8
1242	sample2	Region 2	7	8
1244	sample2	Region 2	7	8
1248	sample2	Region 2	7	8
1249	sample2	Region 2	7	8
1266	sample2	Region 2	7	8
1269	sample2	Region 2	7	8
1270	sample2	Region 2	7	8
1286	sample2	Region 2	7	8
1288	sample2	Region 2	7	8
1289	sample2	Region 2	7	8
1290	sample2	Region 2	7	8
1295	sample2	Region 2	7	8
1303	sample2	Region 2	7	8
1304	sample2	Region 2	7	8
1305	sample2	Region 2	7	8
1306	sample2	Region 2	7	8
1309	sample2	Region 2	7	8
1312	sample2	Region 2	7	8
1314	sample2	Region 2	7	8
1318	sample2	Region 2	7	8
1320	sample2	Region 2	7	8
1326	sample2	Region 2	7	8
1348	sample2	Region 2	7	8
1352	sample2	Region 2	7	8
1358	sample2	Region 2	7	8
1361	sample2	Region 2	7	8
1366	sample2	Region 2	7	8
1370	sample2	Region 2	7	8
1376	sample2	Region 2	7	8
1400	sample2	Region 2	7	8
1407	sample2	Region 2	7	8
1408	sample2	Region 2	7	8
1409	sample2	Region 2	7	8
1413	sample2	Region 2	7	8
1423	sample2	Region 2	7	8
1424	sample2	Region 2	7	8
1425	sample2	Region 2	7	8
1427	sample2	Region 2	7	8
1433	sample2	Region 2	7	8
1435	sample2	Region 2	7	8
1445	sample2	Region 2	7	8
1446	sample2	Region 2	7	8
1450	sample2	Region 2	7	8
1461	sample2	Region 2	7	8
1466	sample2	Region 2	7	8
1481	sample2	Region 2	7	8
1485	sample2	Region 2	7	8
1496	sample2	Region 2	7	8
1498	sample2	Region 2	7	8
1500	sample2	Region 2	7	8
1503	sample2	Region 2	7	8
1504	sample2	Region 2	7	8
1505	sample2	Region 2	7	8
1509	sample2	Region 2	7	8
1514	sample2	Region 2	7	8
1518	sample2	Region 2	7	8
1519	sample2	Region 2	7	8
1521	sample2	Region 2	7	8
1523	sample2	Region 2	7	8
1525	sample2	Region 2	7	8
1527	sample2	Region 2	7	8
1530	sample2	Region 2	7	8
1531	sample2	Region 2	7	8
1535	sample2	Region 2	7	8
1542	sample2	Region 2	7	8
1543	sample2	Region 2	7	8
1549	sample2	Region 2	7	8
1551	sample2	Region 2	7	8
1553	sample2	Region 2	7	8
1561	sample2	Region 2	7	8
1566	sample2	Region 2	7	8
1572	sample2	Region 2	7	8
1573	sample2	Region 2	7	8
1592	sample2	Region 2	7	8
1603	sample2	Region 2	7	8
1605	sample2	Region 2	7	8
1608	sample2	Region 2	7	8
1610	sample2	Region 2	7	8
1611	sample2	Region 2	7	8
1612	sample2	Region 2	7	8
1613	sample2	Region 2	7	8
1616	sample2	Region 2	7	8
1625	sample2	Region 2	7	8
1629	sample2	Region 2	7	8
1642	sample2	Region 2	7	8
1648	sample2	Region 2	7	8
1650	sample2	Region 2	7	8
1655	sample2	Region 2	7	8
1657	sample2	Region 2	7	8
1662	sample2	Region 2	7	8
1663	sample2	Region 2	7	8
1667	sample2	Region 2	7	8
1668	sample2	Region 2	7	8
1671	sample2	Region 2	7	8
1673	sample2	Region 2	7	8
1674	sample2	Region 2	7	8
1684	sample2	Region 2	7	8
1685	sample2	Region 2	7	8
1692	sample2	Region 2	7	8
1693	sample2	Region 2	7	8
1695	sample2	Region 2	7	8
1700	sample2	Region 2	7	8
1701	sample2	Region 2	7	8
1703	sample2	Region 2	7	8
1708	sample2	Region 2	7	8
1711	sample2	Region 2	7	8
1714	sample2	Region 2	7	8
1718	sample2	Region 2	7	8
1726	sample2	Region 2	7	8
1727	sample2	Region 2	7	8
1728	sample2	Region 2	7	8
1729	sample2	Region 2	7	8
1734	sample2	Region 2	7	8
1736	sample2	Region 2	7	8
1737	sample2	Region 2	7	8
1744	sample2	Region 2	7	8
1747	sample2	Region 2	7	8
1748	sample2	Region 2	7	8
1751	sample2	Region 2	7	8
1753	sample2	Region 2	7	8
1755	sample2	Region 2	7	8
1756	sample2	Region 2	7	8
1758	sample2	Region 2	7	8
1761	sample2	Region 2	7	8
1763	sample2	Region 2	7	8
1766	sample2	Region 2	7	8
1767	sample2	Region 2	7	8
1770	sample2	Region 2	7	8
1771	sample2	Region 2	7	8
1782	sample2	Region 2	7	8
1783	sample2	Region 2	7	8
1784	sample2	Region 2	7	8
1787	sample2	Region 2	7	8
1791	sample2	Region 2	7	8
1811	sample2	Region 2	7	8
1843	sample2	Region 2	7	8
1850	sample2	Region 2	7	8
1856	sample2	Region 2	7	8
1857	sample2	Region 2	7	8
1861	sample2	Region 2	0	1
1863	sample2	Region 2	7	8
1866	sample2	Region 2	7	8
1873	sample2	Region 2	7	8
1875	sample2	Region 2	7	8
1884	sample2	Region 2	7	8
1885	sample2	Region 2	7	8
1887	sample2	Region 2	7	8
1888	sample2	Region 2	7	8
1890	sample2	Region 2	7	8
1891	sample2	Region 2	7	8
1895	sample2	Region 2	7	8
1932	sample2	Region 2	7	8
1933	sample2	Region 2	7	8
1934	sample2	Region 2	7	8
1948	sample2	Region 2	7	8
1949	sample2	Region 2	7	8
1951	sample2	Region 2	7	8
1952	sample2	Region 2	7	8
1994	sample2	Region 2	8	10
2045	sample2	Region 2	7	8
2058	sample2	Region 2	7	8
2059	sample2	Region 2	7	8
2067	sample2	Region 2	7	8
2079	sample2	Region 2	7	8
2082	sample2	Region 2	7	8
2083	sample2	Region 2	7	8
2098	sample2	Region 2	7	8
2109	sample2	Region 2	7	8
2122	sample2	Region 2	7	8
2123	sample2	Region 2	7	8
2126	sample2	Region 2	7	8
2133	sample2	Region 2	7	8
2135	sample2	Region 2	7	8
2138	sample2	Region 2	7	8
2140	sample2	Region 2	7	8
2227	sample2	Region 2	7	8
2236	sample2	Region 2	7	8
2237	sample2	Region 2	7	8
2244	sample2	Region 2	7	8
2250	sample2	Region 2	7	8
2251	sample2	Region 2	7	8
2253	sample2	Region 2	7	8
2257	sample2	Region 2	7	8
2266	sample2	Region 2	7	8
2267	sample2	Region 2	7	8
2271	sample2	Region 2	7	8
2342	sample2	Region 2	7	8
2351	sample2	Region 2	5	5
2385	sample2	Region 2	3	3
2395	sample2	Region 2	7	8
2400	sample2	Region 2	7	8
2401	sample2	Region 2	7	8
2404	sample2	Region 2	7	8
2443	sample2	Region 2	5	11
2461	sample2	Region 2	5	11
2509	sample2	Region 2	7	8
2512	sample2	Region 2	7	8
2516	sample2	Region 2	7	8
2517	sample2	Region 2	7	8
2525	sample2	Region 2	7	8
2526	sample2	Region 2	7	8
2527	sample2	Region 2	7	8
2528	sample2	Region 2	7	8
2537	sample2	Region 2	7	8
2541	sample2	Region 2	7	8
2543	sample2	Region 2	7	8
2550	sample2	Region 2	7	8
2564	sample2	Region 2	7	8
2565	sample2	Region 2	7	8
2569	sample2	Region 2	7	8
2570	sample2	Region 2	7	8
2575	sample2	Region 2	7	8
2590	sample2	Region 2	7	8
2593	sample2	Region 2	7	8
2594	sample2	Region 2	7	8
2595	sample2	Region 2	7	8
2599	sample2	Region 2	7	8
2601	sample2	Region 2	7	8
2603	sample2	Region 2	7	8
2614	sample2	Region 2	7	8
2615	sample2	Region 2	7	8
2625	sample2	Region 2	7	8
2626	sample2	Region 2	7	8
2628	sample2	Region 2	7	8
2636	sample2	Region 2	7	8
2645	sample2	Region 2	7	8
2649	sample2	Region 2	7	8
2650	sample2	Region 2	7	8
2653	sample2	Region 2	7	8
2662	sample2	Region 2	7	8
2663	sample2	Region 2	7	8
2665	sample2	Region 2	7	8
2666	sample2	Region 2	7	8
2671	sample2	Region 2	7	8
2672	sample2	Region 2	7	8
2675	sample2	Region 2	7	8
2679	sample2	Region 2	7	8
2682	sample2	Region 2	7	8
2683	sample2	Region 2	7	8
2689	sample2	Region 2	7	8
2698	sample2	Region 2	7	8
2700	sample2	Region 2	7	8
2701	sample2	Region 2	7	8
2722	sample2	Region 2	7	8
2723	sample2	Region 2	7	8
2724	sample2	Region 2	7	8
2725	sample2	Region 2	7	8
2726	sample2	Region 2	7	8
2728	sample2	Region 2	7	8
2730	sample2	Region 2	7	8
2741	sample2	Region 2	7	8
2744	sample2	Region 2	7	8
2745	sample2	Region 2	7	8
2746	sample2	Region 2	7	8
2748	sample2	Region 2	7	8
2756	sample2	Region 2	7	8
2757	sample2	Region 2	7	8
2764	sample2	Region 2	7	8
2765	sample2	Region 2	7	8
2768	sample2	Region 2	7	8
2769	sample2	Region 2	7	8
2772	sample2	Region 2	7	8
2774	sample2	Region 2	7	8
2776	sample2	Region 2	7	8
2777	sample2	Region 2	7	8
2779	sample2	Region 2	7	8
2780	sample2	Region 2	7	8
2797	sample2	Region 2	7	8
2801	sample2	Region 2	7	8
2806	sample2	Region 2	7	8
2820	sample2	Region 2	7	8
2822	sample2	Region 2	7	8
2827	sample2	Region 2	7	8
2828	sample2	Region 2	7	8
2829	sample2	Region 2	7	8
2831	sample2	Region 2	7	8
2837	sample2	Region 2	7	8
2842	sample2	Region 2	7	8
2852	sample2	Region 2	7	8
2857	sample2	Region 2	7	8
2871	sample2	Region 2	7	8
2874	sample2	Region 2	7	8
2875	sample2	Region 2	7	8
2886	sample2	Region 2	7	8
2897	sample2	Region 2	7	8
2899	sample2	Region 2	7	8
2900	sample2	Region 2	7	8
2901	sample2	Region 2	7	8
2903	sample2	Region 2	7	8
2906	sample2	Region 2	7	8
2907	sample2	Region 2	7	8
2913	sample2	Region 2	7	8
2919	sample2	Region 2	7	8
2920	sample2	Region 2	7	8
2921	sample2	Region 2	7	8
2923	sample2	Region 2	7	8
2928	sample2	Region 2	7	8
2941	sample2	Region 2	7	8
2942	sample2	Region 2	7	8
2945	sample2	Region 2	7	8
2946	sample2	Region 2	7	8
2950	sample2	Region 2	7	8
2955	sample2	Region 2	7	8
2957	sample2	Region 2	7	8
2963	sample2	Region 2	7	8
2964	sample2	Region 2	7	8
2965	sample2	Region 2	7	8
2968	sample2	Region 2	7	8
2972	sample2	Region 2	7	8
2977	sample2	Region 2	7	8
2979	sample2	Region 2	7	8
2980	sample2	Region 2	7	8
2984	sample2	Region 2	7	8
2985	sample2	Region 2	7	8
2986	sample2	Region 2	7	8
2988	sample2	Region 2	7	8
2990	sample2	Region 2	7	8
2992	sample2	Region 2	7	8
3005	sample2	Region 2	7	8
3008	sample2	Region 2	7	8
3009	sample2	Region 2	7	8
3010	sample2	Region 2	7	8
3011	sample2	Region 2	7	8
3012	sample2	Region 2	7	8
3013	sample2	Region 2	7	8
3017	sample2	Region 2	7	8
3018	sample2	Region 2	7	8
3019	sample2	Region 2	7	8
3025	sample2	Region 2	7	8
3028	sample2	Region 2	7	8
3029	sample2	Region 2	7	8
3039	sample2	Region 2	7	8
3040	sample2	Region 2	7	8
3057	sample2	Region 2	7	8
3063	sample2	Region 2	7	8
3064	sample2	Region 2	7	8
3066	sample2	Region 2	7	8
3068	sample2	Region 2	7	8
3078	sample2	Region 2	7	8
3084	sample2	Region 2	7	8
3090	sample2	Region 2	7	8
3096	sample2	Region 2	7	8
3099	sample2	Region 2	7	8
3102	sample2	Region 2	7	8
3104	sample2	Region 2	7	8
3105	sample2	Region 2	7	8
3107	sample2	Region 2	7	8
3108	sample2	Region 2	7	8
3114	sample2	Region 2	7	8
3115	sample2	Region 2	7	8
3119	sample2	Region 2	7	8
3122	sample2	Region 2	7	8
3128	sample2	Region 2	7	8
3129	sample2	Region 2	7	8
3131	sample2	Region 2	7	8
3132	sample2	Region 2	7	8
3138	sample2	Region 2	7	8
3150	sample2	Region 2	7	8
3152	sample2	Region 2	7	8
3158	sample2	Region 2	7	8
3161	sample2	Region 2	7	8
3164	sample2	Region 2	7	8
3167	sample2	Region 2	7	8
3169	sample2	Region 2	7	8
3176	sample2	Region 2	7	8
3214	sample2	Region 2	7	8
3223	sample2	Region 2	7	8
3230	sample2	Region 2	7	8
3233	sample2	Region 2	7	8
3242	sample2	Region 2	7	8
3243	sample2	Region 2	7	8
3249	sample2	Region 4	1	0
3250	sample2	Region 4	0	1
3254	sample2	Region 4	0	1
3257	sample2	Region 4	1	0
3259	sample2	Region 4	0	1
3260	sample2	Region 4	1	0
3262	sample2	Region 4	1	0
3263	sample2	Region 4	1	0
3268	sample2	Region 4	1	0
3269	sample2	Region 4	1	0
3271	sample2	Region 4	2	1
3272	sample2	Region 4	0	1
3278	sample2	Region 4	0	0
3279	sample2	Region 4	0	1
3283	sample2	Region 4	0	1
3289	sample2	Region 4	1	9
3298	sample2	Region 4	3	3
3300	sample2	Region 4	1	0
3306	sample2	Region 4	1	0
3312	sample2	Region 4	1	0
3313	sample2	Region 4	0	1
3315	sample2	Region 4	1	0
3316	sample2	Region 4	1	0
3317	sample2	Region 4	1	0
3321	sample2	Region 4	1	9
3322	sample2	Region 4	1	1
3324	sample2	Region 4	1	0
3330	sample2	Region 4	0	1
3331	sample2	Region 4	1	0
3334	sample2	Region 4	1	0
3336	sample2	Region 4	1	0
3338	sample2	Region 4	1	0
3339	sample2	Region 4	1	0
3340	sample2	Region 4	1	0
3344	sample2	Region 4	0	0
3346	sample2	Region 4	1	0
3347	sample2	Region 4	1	0
3349	sample2	Region 4	1	0
3350	sample2	Region 4	2	2
3352	sample2	Region 4	1	0
3356	sample2	Region 4	1	0
3359	sample2	Region 4	1	0
3361	sample2	Region 4	0	1
3370	sample2	Region 4	0	0
3374	sample2	Region 4	1	0
3376	sample2	Region 4	1	0
3379	sample2	Region 4	2	2
3385	sample2	Region 4	1	0
3386	sample2	Region 4	1	2
3389	sample2	Region 4	1	0
3392	sample2	Region 4	1	0
3394	sample2	Region 4	1	0
3397	sample2	Region 4	0	0
3398	sample2	Region 4	1	0
3400	sample2	Region 4	0	0
3405	sample2	Region 4	0	1
3406	sample2	Region 4	1	0
3410	sample2	Region 4	1	0
3412	sample2	Region 4	1	0
3416	sample2	Region 4	1	0
3421	sample2	Region 4	1	0
3425	sample2	Region 4	4	4
3428	sample2	Region 4	0	0
3430	sample2	Region 4	0	0
3431	sample2	Region 4	1	0
3437	sample2	Region 4	0	1
3443	sample2	Region 4	1	0
3444	sample2	Region 4	1	0
3450	sample2	Region 4	0	0
3465	sample2	Region 4	0	0
3470	sample2	Region 4	0	1
3473	sample2	Region 4	0	0
3479	sample2	Region 4	0	0
3485	sample2	Region 4	0	1
3488	sample2	Region 4	1	0
3489	sample2	Region 4	2	2
3491	sample2	Region 4	1	0
3492	sample2	Region 4	2	2
3493	sample2	Region 4	4	4
3494	sample2	Region 4	0	1
3498	sample2	Region 4	1	0
3499	sample2	Region 4	1	0
3500	sample2	Region 4	0	2
3501	sample2	Region 4	1	0
3502	sample2	Region 4	0	1
3505	sample2	Region 4	0	0
3508	sample2	Region 4	1	0
3509	sample2	Region 4	1	0
3513	sample2	Region 4	1	0
3516	sample2	Region 4	0	0
3518	sample2	Region 4	1	0
3519	sample2	Region 4	1	0
3520	sample2	Region 4	0	0
3523	sample2	Region 4	3	3
3524	sample2	Region 4	0	1
3531	sample2	Region 4	0	0
3533	sample2	Region 4	0	1
3534	sample2	Region 4	1	0
3536	sample2	Region 4	0	0
3538	sample2	Region 4	1	0
3543	sample2	Region 4	0	1
3544	sample2	Region 4	1	0
3559	sample2	Region 4	1	0
3564	sample2	Region 4	0	0
3566	sample2	Region 4	1	0
3567	sample2	Region 4	1	0
3572	sample2	Region 4	1	0
3578	sample2	Region 4	0	1
3579	sample2	Region 4	0	1
3584	sample2	Region 4	0	1
3587	sample2	Region 4	2	2
3590	sample2	Region 4	1	0
3593	sample2	Region 4	1	0
3594	sample2	Region 4	0	1
3600	sample2	Region 4	1	0
3601	sample2	Region 4	2	2
3605	sample2	Region 4	0	1
3621	sample2	Region 4	2	2
3628	sample2	Region 4	1	0
3629	sample2	Region 4	1	0
3631	sample2	Region 4	1	0
3632	sample2	Region 4	1	0
3633	sample2	Region 4	1	0
3635	sample2	Region 4	1	0
3638	sample2	Region 4	1	0
3640	sample2	Region 4	1	0
3642	sample2	Region 4	1	0
3643	sample2	Region 4	1	0
3646	sample2	Region 4	1	0
3647	sample2	Region 4	1	0
3650	sample2	Region 4	1	0
3652	sample2	Region 4	1	0
3653	sample2	Region 4	4	1
3654	sample2	Region 4	1	0
3659	sample2	Region 4	1	0
3660	sample2	Region 4	1	0
3662	sample2	Region 4	1	0
3663	sample2	Region 4	1	0
3664	sample2	Region 4	1	0
3669	sample2	Region 4	1	0
3670	sample2	Region 4	1	0
3671	sample2	Region 4	0	0
3678	sample2	Region 4	1	0
3682	sample2	Region 4	1	0
3683	sample2	Region 4	0	1
3689	sample2	Region 4	0	0
3693	sample2	Region 4	1	0
3694	sample2	Region 4	1	0
3699	sample2	Region 4	1	0
3700	sample2	Region 4	0	1
3708	sample2	Region 4	1	0
3709	sample2	Region 4	1	0
3710	sample2	Region 4	0	4
3730	sample2	Region 4	0	1
3731	sample2	Region 4	1	0
3733	sample2	Region 4	1	0
3734	sample2	Region 4	0	0
3738	sample2	Region 4	1	0
3743	sample2	Region 4	0	1
3745	sample2	Region 4	0	1
3751	sample2	Region 4	1	0
3754	sample2	Region 4	1	0
3755	sample2	Region 4	1	0
3756	sample2	Region 4	0	1
3757	sample2	Region 4	1	0
3764	sample2	Region 4	0	0
3767	sample2	Region 4	1	0
3769	sample2	Region 4	1	0
3772	sample2	Region 4	0	0
3773	sample2	Region 4	1	0
3775	sample2	Region 4	1	0
3789	sample2	Region 4	0	1
3790	sample2	Region 4	0	0
3793	sample2	Region 4	1	0
3795	sample2	Region 4	1	0
3807	sample2	Region 4	1	0
3813	sample2	Region 4	1	0
3815	sample2	Region 4	4	1
3826	sample2	Region 4	1	0
3831	sample2	Region 4	1	0
3832	sample2	Region 4	1	0
3839	sample2	Region 4	2	2
3842	sample2	Region 4	1	0
3844	sample2	Region 4	0	0
3848	sample2	Region 4	0	0
3854	sample2	Region 4	1	7
3862	sample2	Region 4	1	0
3864	sample2	Region 4	0	0
3872	sample2	Region 4	1	0
3875	sample2	Region 4	1	0
3878	sample2	Region 4	0	0
3879	sample2	Region 4	0	0
3884	sample2	Region 4	0	0
3886	sample2	Region 4	1	0
3889	sample2	Region 4	0	0
3896	sample2	Region 4	0	0
3902	sample2	Region 4	2	2
3904	sample2	Region 4	1	0
3914	sample2	Region 4	2	2
3917	sample2	Region 4	2	1
3927	sample2	Region 4	0	0
3932	sample2	Region 4	4	4
3935	sample2	Region 4	4	4
3936	sample2	Region 4	1	0
3948	sample2	Region 4	1	0
3949	sample2	Region 4	1	0
3952	sample2	Region 4	1	0
3954	sample2	Region 4	1	2
3955	sample2	Region 4	0	0
3964	sample2	Region 4	3	7
3967	sample2	Region 4	1	0
3969	sample2	Region 4	0	1
3971	sample2	Region 4	0	1
3972	sample2	Region 4	2	1
3976	sample2	Region 4	1	0
3979	sample2	Region 4	1	0
3981	sample2	Region 4	1	0
3984	sample2	Region 4	1	0
3987	sample2	Region 4	3	3
3989	sample2	Region 4	1	1
4002	sample2	Region 4	6	6
4015	sample2	Region 4	0	1
4020	sample2	Region 4	1	0
4023	sample2	Region 4	0	1
4024	sample2	Region 4	1	0
